GVKEY,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,conm,tic,cusip
3532,LU,22293,20523,19620131,E,CORNING INC,GLW,219350105
3532,LU,22293,20523,19500101,19620130,CORNING INC,GLW,219350105
3561,LU,51692,21405,19701214,19790330,COUSINS MORTGAGE & EQUITY,CUZ.1,222786105
3650,LU,41080,20543,19640910,E,CUMMINS INC,CMI,231021106
3735,LC,49680,20557,19700130,E,DANAHER CORP,DHR,235851102
3735,LC,49680,20557,19700101,19700129,DANAHER CORP,DHR,235851102
3813,LU,49154,20561,19690908,E,TARGET CORP,TGT,8.76E+110
3835,LC,19350,20566,19491101,19620130,DEERE & CO,DE,244199105
3835,LC,19350,20566,19620131,E,DEERE & CO,DE,244199105
3851,LC,91926,20569,20070503,E,DELTA AIR LINES INC,DAL,247361702
3897,LC,11674,20574,19960102,E,DTE ENERGY CO,DTE,233331107
3980,LC,26403,20587,19620131,E,DISNEY (WALT) CO,DIS,254687106
4016,LC,93096,53264,20091113,E,DOLLAR GENERAL CORP,DG,256677105
4029,LC,64936,20592,19830602,E,DOMINION ENERGY INC,D,25746U109
4058,LC,25953,20596,19620131,E,DOVER CORP,DOV,260003108
4058,LC,25953,20596,19600101,19620130,DOVER CORP,DOV,260003108
4060,LC,16851,56027,20170901,E,DUPONT DE NEMOURS INC,DD,26614N102
4066,LU,30681,1367,19721214,E,OMNICOM GROUP,OMC,681919106
4093,LC,27959,20608,19620131,E,DUKE ENERGY CORP,DUK,26441C204
4094,LC,48506,20610,19690612,20001002,DUN & BRADSTREET CORP,DNB,2.65E+104
4108,LU,30940,1425,19721214,E,FLOWSERVE CORP,FLS,34354P105
4145,LU,42200,20616,19650706,E,PERKINELMER INC,PKI,714046109
4213,LU,70578,1467,19721214,E,ECOLAB INC,ECL,278865100
4321,LC,22103,20643,19620131,E,EMERSON ELECTRIC CO,EMR,291011104
4321,LC,22103,20643,19491001,19620130,EMERSON ELECTRIC CO,EMR,291011104
4423,LU,52476,20659,19710511,E,EQUIFAX INC,EFX,294429105
4494,LU,87717,7232,19840926,E,EXPEDITORS INTL WASH INC,EXPD,302130109
4503,LC,11850,20678,19500101,19620130,EXXON MOBIL CORP,XOM,30231G102
4503,LC,11850,20678,19620131,E,EXXON MOBIL CORP,XOM,30231G102
4510,LU,19166,20681,19620131,E,FMC CORP,FMC,302491303
4510,LU,19166,20681,19500101,19620130,FMC CORP,FMC,302491303
4517,LC,24205,20684,19620131,E,NEXTERA ENERGY INC,NEE,65339F101
4517,LC,24205,20684,19510101,19620130,NEXTERA ENERGY INC,NEE,65339F101
